lat,lon,quadkey,country,date_time,n_baseline,n_crisis,n_difference,density_baseline,density_crisis,percent_change,clipped_z_score,ds
45.330909539958,9.0335083007812,1202213223101102,IT,2020-11-17 0800,\N,\N,\N,\N,\N,-34.19276072758507,-1.079218963180272,2021-01-18
45.48131776523,9.1928100585938,1202213230023021,IT,2020-11-17 0800,499.00916285459965,290.563569628223,-208.44559322637667,0.0016715023415056927,0.001041652301730744,-41.68835467661053,-1.0705129547097345,2021-01-18
45.62748417943,9.5388793945312,1202213213221200,IT,2020-11-17 0800,\N,\N,\N,\N,\N,-14.896051642198879,-1.5876388440096456,2021-01-18
45.400378484343,9.4949340820312,1202213231202222,IT,2020-11-17 0800,30.76428776578419,31.812782710745253,1.0484949449610639,0.00010304936835447775,0.00011404684481784075,3.30086086831917,0.4752433154991989,2021-01-18
45.519819469967,9.3850708007812,1202213230121100,IT,2020-11-17 0800,10.82724876088622,11.80233087832251,0.9750821174362887,3.626741351272386e-05,4.231062118669107e-05,8.244369735935319,0.66698035655697,2021-01-18
45.558294846517,9.2312622070312,1202213230010220,IT,2020-11-17 0800,80.32367569626796,75.87547946679632,-4.448196229471634,0.000269055604583711,0.000272008868601934,-5.469743209941711,-0.40220950536749267,2021-01-18
45.323185502252,9.5169067382812,1202213233000122,IT,2020-11-17 0800,20.513791267075533,18.38880451066545,-2.124986756410081,6.871386877933302e-05,6.592271897375129e-05,-9.877323480692764,-0.6839691089274922,2021-01-18
45.612116143609,9.0170288085938,1202213203323001,IT,2020-11-17 0800,17.52890957420324,16.58894141228606,-0.9399681619171787,5.8715581953871936e-05,5.9470321855881436e-05,-5.072981538135647,-0.6041528254795892,2021-01-18
45.384948313631,9.2587280273438,1202213230230123,IT,2020-11-17 0800,34.75620844904322,32.579216054724164,-2.1769923943190577,0.00011642087586548652,0.0001167944606249439,-6.088431880079026,-0.3308862662977356,2021-01-18
45.465909711303,9.0939331054688,1202213221132331,IT,2020-11-17 0800,87.79581495804888,99.45714644973071,11.661331491681835,0.0002940846004455819,0.0003565476761436058,13.132748989568,0.7231141944981978,2021-01-18
45.619800688047,9.4564819335938,1202213212331221,IT,2020-11-17 0800,16.023960858049197,18.37889937573289,2.354938517683692,5.3674541648104164e-05,6.588720968187873e-05,13.833082308634657,1.0365127641784597,2021-01-18
45.438935480228,9.4454956054688,1202213230310313,IT,2020-11-17 0800,\N,\N,\N,\N,\N,1.1673496633897875,0.14108139289922578,2021-01-18
45.38880625126,9.1598510742188,1202213230220031,IT,2020-11-17 0800,73.03890858648843,69.20418082397386,-3.834727762514575,0.0002446542384611652,0.0002480926784349399,-5.179341289229087,-0.5886867129640817,2021-01-18
45.508271723034,9.5278930664062,1202213231020132,IT,2020-11-17 0800,\N,\N,\N,\N,\N,-27.243529915396838,-1.3062294897377456,2021-01-18
45.357935377759,9.3630981445312,1202213230323020,IT,2020-11-17 0800,\N,\N,\N,\N,\N,18.235447680161915,1.2340124076973018,2021-01-18
45.589056191908,9.3576049804688,1202213212322331,IT,2020-11-17 0800,18.78819065855301,19.49633583400011,0.7081451754471004,6.293372349873529e-05,6.989314979433404e-05,3.5786251894688528,0.2558727977680824,2021-01-18
45.473614264845,9.5169067382812,1202213231022300,IT,2020-11-17 0800,24.019782824655447,26.120713897700384,2.1009310730449364,8.04576873983542e-05,9.364113260724137e-05,8.397079574066481,0.8441906857708872,2021-01-18
45.4080919899,9.2422485351562,1202213230212212,IT,2020-11-17 0800,\N,\N,\N,\N,\N,5.859943495342074,0.4209387650428085,2021-01-18
45.546754997973,9.3850708007812,1202213230103102,IT,2020-11-17 0800,47.84244688873277,49.851765809886004,2.0093189211532305,0.00016025509740224896,0.00017871547581705467,4.113878499434374,0.29572435870303865,2021-01-18
45.539060449225,9.0005493164062,1202213221102132,IT,2020-11-17 0800,16.960287642403433,16.26900778123048,-0.6912798611729514,5.681090171714488e-05,5.832337971300879e-05,-3.84893535636295,-0.5037304160065552,2021-01-18
45.619800688047,9.3740844726562,1202213212321230,IT,2020-11-17 0800,38.378723938293405,35.12906309750283,-3.2496608407905754,0.00012855500800803922,0.00012593550347684085,-8.252326423483922,-1.0087497663804592,2021-01-18
45.450497444729,9.3795776367188,1202213230301031,IT,2020-11-17 0800,20.48336573095217,17.637339463381625,-2.8460262675705437,6.861195410790527e-05,6.322876357812151e-05,-13.247580957345665,-0.681666728179402,2021-01-18
45.608273476493,9.3466186523438,1202213212322103,IT,2020-11-17 0800,\N,\N,\N,\N,\N,-9.191887807312915,-0.6031526645380003,2021-01-18
45.50442194749,9.5223999023438,1202213231020301,IT,2020-11-17 0800,\N,\N,\N,\N,\N,-27.61846320614866,-1.517185322127318,2021-01-18
45.489020212463,9.5498657226562,1202213231023010,IT,2020-11-17 0800,12.20442256635153,10.15171123245731,-2.0527113338942193,4.088045353653262e-05,3.639325255167116e-05,-15.54563498388099,-0.989914839310068,2021-01-18
45.38880625126,9.4400024414062,1202213230330130,IT,2020-11-17 0800,\N,\N,\N,\N,\N,24.115874854235038,1.9366448417704507,2021-01-18
45.34249362171,9.3356323242188,1202213230322231,IT,2020-11-17 0800,\N,\N,\N,\N,\N,8.0387039235057,0.6039449167100107,2021-01-18
45.612116143609,9.4015502929688,1202213212323111,IT,2020-11-17 0800,\N,\N,\N,\N,\N,5.306882103898942,0.35096860211176173,2021-01-18
45.315460411312,9.5443725585938,1202213233001203,IT,2020-11-17 0800,\N,\N,\N,\N,\N,-3.1765084473617886,-0.3323000376679901,2021-01-18
