latitude_g,longitude_,geometry,quadkey
45.311597470877999,8.995056152343800,POINT (8.9950561523438 45.311597470878),1202213223100321
45.315449747811563,8.995056152343800,POINT (8.9950561523438 45.31544974781156),1202213223100303
45.319302024745127,8.995056152343800,POINT (8.9950561523438 45.31930202474513),1202213223100301
45.323154301678692,8.995056152343800,POINT (8.9950561523438 45.32315430167869),1202213223100123
45.327006578612256,8.995056152343800,POINT (8.9950561523438 45.32700657861226),1202213223100121
45.330858855545820,8.995056152343800,POINT (8.9950561523438 45.33085885554582),1202213223100103
45.334711132479384,8.995056152343800,POINT (8.9950561523438 45.33471113247938),1202213223100101
45.338563409412949,8.995056152343800,POINT (8.9950561523438 45.33856340941295),1202213221322323
45.342415686346513,8.995056152343800,POINT (8.9950561523438 45.34241568634651),1202213221322321
45.346267963280077,8.995056152343800,POINT (8.9950561523438 45.34626796328008),1202213221322303
45.350120240213641,8.995056152343800,POINT (8.9950561523438 45.35012024021364),1202213221322301
45.353972517147206,8.995056152343800,POINT (8.9950561523438 45.35397251714721),1202213221322123
45.357824794080770,8.995056152343800,POINT (8.9950561523438 45.35782479408077),1202213221322121
45.361677071014334,8.995056152343800,POINT (8.9950561523438 45.36167707101433),1202213221322103
45.365529347947898,8.995056152343800,POINT (8.9950561523438 45.3655293479479),1202213221322101
45.369381624881463,8.995056152343800,POINT (8.9950561523438 45.36938162488146),1202213221320323
45.373233901815027,8.995056152343800,POINT (8.9950561523438 45.37323390181503),1202213221320321
45.377086178748591,8.995056152343800,POINT (8.9950561523438 45.37708617874859),1202213221320303
45.380938455682156,8.995056152343800,POINT (8.9950561523438 45.38093845568216),1202213221320301
45.384790732615720,8.995056152343800,POINT (8.9950561523438 45.38479073261572),1202213221320123
45.388643009549284,8.995056152343800,POINT (8.9950561523438 45.38864300954928),1202213221320121
45.392495286482848,8.995056152343800,POINT (8.9950561523438 45.39249528648285),1202213221320103
45.396347563416413,8.995056152343800,POINT (8.9950561523438 45.39634756341641),1202213221320101
45.400199840349977,8.995056152343800,POINT (8.9950561523438 45.40019984034998),1202213221302323
45.404052117283541,8.995056152343800,POINT (8.9950561523438 45.40405211728354),1202213221302321
45.407904394217105,8.995056152343800,POINT (8.9950561523438 45.40790439421711),1202213221302303
45.411756671150670,8.995056152343800,POINT (8.9950561523438 45.41175667115067),1202213221302301
45.415608948084234,8.995056152343800,POINT (8.9950561523438 45.41560894808423),1202213221302123
45.419461225017798,8.995056152343800,POINT (8.9950561523438 45.4194612250178),1202213221302121
45.423313501951363,8.995056152343800,POINT (8.9950561523438 45.42331350195136),1202213221302103
45.427165778884927,8.995056152343800,POINT (8.9950561523438 45.42716577888493),1202213221302101
45.431018055818491,8.995056152343800,POINT (8.9950561523438 45.43101805581849),1202213221300323
45.434870332752055,8.995056152343800,POINT (8.9950561523438 45.43487033275206),1202213221300321
45.438722609685620,8.995056152343800,POINT (8.9950561523438 45.43872260968562),1202213221300303
45.442574886619184,8.995056152343800,POINT (8.9950561523438 45.44257488661918),1202213221300301
45.446427163552748,8.995056152343800,POINT (8.9950561523438 45.44642716355275),1202213221300123
45.450279440486312,8.995056152343800,POINT (8.9950561523438 45.45027944048631),1202213221300121
45.454131717419877,8.995056152343800,POINT (8.9950561523438 45.45413171741988),1202213221300103
45.457983994353441,8.995056152343800,POINT (8.9950561523438 45.45798399435344),1202213221300101
45.461836271287005,8.995056152343800,POINT (8.9950561523438 45.46183627128701),1202213221122323
45.465688548220569,8.995056152343800,POINT (8.9950561523438 45.46568854822057),1202213221122321
45.469540825154134,8.995056152343800,POINT (8.9950561523438 45.46954082515413),1202213221122303
45.473393102087698,8.995056152343800,POINT (8.9950561523438 45.4733931020877),1202213221122301
45.477245379021262,8.995056152343800,POINT (8.9950561523438 45.47724537902126),1202213221122123
45.481097655954827,8.995056152343800,POINT (8.9950561523438 45.48109765595483),1202213221122121
45.484949932888391,8.995056152343800,POINT (8.9950561523438 45.48494993288839),1202213221122103
45.488802209821955,8.995056152343800,POINT (8.9950561523438 45.48880220982196),1202213221122101
45.492654486755519,8.995056152343800,POINT (8.9950561523438 45.49265448675552),1202213221120323
45.496506763689084,8.995056152343800,POINT (8.9950561523438 45.49650676368908),1202213221120321
45.500359040622648,8.995056152343800,POINT (8.9950561523438 45.50035904062265),1202213221120303
45.504211317556212,8.995056152343800,POINT (8.9950561523438 45.50421131755621),1202213221120301
45.508063594489776,8.995056152343800,POINT (8.9950561523438 45.50806359448978),1202213221120123
45.511915871423341,8.995056152343800,POINT (8.9950561523438 45.51191587142334),1202213221120121
45.515768148356905,8.995056152343800,POINT (8.9950561523438 45.5157681483569),1202213221120103
45.519620425290469,8.995056152343800,POINT (8.9950561523438 45.51962042529047),1202213221120101
45.523472702224034,8.995056152343800,POINT (8.9950561523438 45.52347270222403),1202213221102323
45.527324979157598,8.995056152343800,POINT (8.9950561523438 45.5273249791576),1202213221102321
45.531177256091162,8.995056152343800,POINT (8.9950561523438 45.53117725609116),1202213221102303
45.535029533024726,8.995056152343800,POINT (8.9950561523438 45.53502953302473),1202213221102301
45.538881809958291,8.995056152343800,POINT (8.9950561523438 45.53888180995829),1202213221102123
45.542734086891855,8.995056152343800,POINT (8.9950561523438 45.54273408689185),1202213221102121
45.546586363825419,8.995056152343800,POINT (8.9950561523438 45.54658636382542),1202213221102103
45.550438640758983,8.995056152343800,POINT (8.9950561523438 45.55043864075898),1202213221102101
45.554290917692548,8.995056152343800,POINT (8.9950561523438 45.55429091769255),1202213221100323
