lat,lon,quadkey,country,date_time,n_baseline,n_crisis,n_difference,density_baseline,density_crisis,percent_change,clipped_z_score,ds
45.569832325584,9.4180297851562,1202213230110032,IT,2021-02-12 0800,17.829875055617183,19.378527178764955,1.5486521231477717,6.024641238714728e-05,7.01736481378263e-05,8.224441843472508,0.39407596536432726,2021-03-08
45.477466146682,9.3081665039062,1202213230033132,IT,2021-02-12 0800,50.596523598736525,46.54196653504878,-4.054557063687746,0.00017096356629404288,0.00016853807067711076,-7.858198151526302,-0.4597014290630314,2021-03-08
45.423515841436,9.0280151367188,1202213221303013,IT,2021-02-12 0800,\N,\N,\N,\N,\N,-7.767328539780119,-0.4498710370709385,2021-03-08
45.330909539958,9.1818237304688,1202213232000113,IT,2021-02-12 0800,\N,\N,\N,\N,\N,-10.57408986971235,-0.5755356360449466,2021-03-08
45.4080919899,9.2642211914062,1202213230212312,IT,2021-02-12 0800,94.53437673387738,86.87577099502387,-7.65860573885351,0.00031942775974062886,0.00031459510463662183,-8.01659674840135,-0.5577390649229637,2021-03-08
45.477466146682,9.1598510742188,1202213230022033,IT,2021-02-12 0800,265.32577297678796,221.326674938916,-43.99909803787196,0.0008965248430421412,0.0008014695888600756,-16.52078112684452,-0.6807518837882135,2021-03-08
45.477466146682,9.3191528320312,1202213230122022,IT,2021-02-12 0800,18.9638770341731,16.650100931593947,-2.3137761025791512,6.407815829870356e-05,6.029345333908047e-05,-11.589813434627718,-1.782918510258294,2021-03-08
45.554448493612,9.3081665039062,1202213230011332,IT,2021-02-12 0800,49.091676530535814,47.405676948678824,-1.68599958185699,0.00016587875012076032,0.00017166574442135007,-3.365827815384073,-0.2761154387852152,2021-03-08
45.612116143609,9.5498657226562,1202213213223010,IT,2021-02-12 0800,14.708316530257378,15.716201020458596,1.007884490201219,4.969879488434294e-05,5.691160893184539e-05,6.416247649834601,0.3163798318767521,2021-03-08
45.319323088437,9.1433715820312,1202213232000200,IT,2021-02-12 0800,18.67302814007402,18.576584974180644,-0.0964431658933762,6.309539188213699e-05,6.72696498322668e-05,-0.4902304068630958,-0.028300043013528092,2021-03-08
45.327047652759,9.1598510742188,1202213232000031,IT,2021-02-12 0800,\N,\N,\N,\N,\N,-39.27768296243369,-1.590785052252177,2021-03-08
45.458204104599,9.0390014648438,1202213221301101,IT,2021-02-12 0800,\N,\N,\N,\N,\N,11.701706109865832,0.4747632935527936,2021-03-08
45.604430546111,9.3521118164062,1202213212322130,IT,2021-02-12 0800,15.320994423366542,14.985594696418092,-0.33539972694845055,5.176900821413936e-05,5.426593257896599e-05,-2.055020167571796,-0.06969208207842036,2021-03-08
45.542907855238,9.0225219726562,1202213221103030,IT,2021-02-12 0800,23.578713448531975,22.695454072936275,-0.8832593755956992,7.967150019546006e-05,8.218492529131046e-05,-3.5935948293032163,-0.29252326633261866,2021-03-08
45.346354455681,9.5333862304688,1202213231222313,IT,2021-02-12 0800,\N,\N,\N,\N,\N,-2.795382915132728,-0.3031974789863777,2021-03-08
45.589056191908,9.5059204101562,1202213213222230,IT,2021-02-12 0800,11.119286245234894,10.564145630918384,-0.5551406143165103,3.757160958736552e-05,3.825495258448575e-05,-4.580637861695712,-0.5209735530904104,2021-03-08
45.435080965473,9.5443725585938,1202213231201221,IT,2021-02-12 0800,\N,\N,\N,\N,\N,2.3237599701467246,0.3314015697141236,2021-03-08
45.462057039597,9.1433715820312,1202213230022222,IT,2021-02-12 0800,241.279276548509,226.36004648977058,-14.919230058738407,0.0008152727234526801,0.000819696466522051,-6.1578647052593825,-2.3832688679290324,2021-03-08
45.546754997973,9.3246459960938,1202213230102003,IT,2021-02-12 0800,18.333686212573845,21.55423744077456,3.2205512282007156,6.194876950589188e-05,7.805234423106832e-05,16.657719551205915,0.5422862046428464,2021-03-08
45.330909539958,9.1104125976562,1202213223111012,IT,2021-02-12 0800,\N,\N,\N,\N,\N,-9.566119993233269,-0.540358006535777,2021-03-08
45.323185502252,9.1653442382812,1202213232000122,IT,2021-02-12 0800,\N,\N,\N,\N,\N,-7.719213222428061,-0.8566200273040228,2021-03-08
45.62364256537,9.5278930664062,1202213213220312,IT,2021-02-12 0800,18.24781329895067,16.52706393857087,-1.720749360379802,6.165860847274445e-05,5.984791098301335e-05,-8.93997325126596,-0.6333964971097575,2021-03-08
45.592900175361,9.4070434570312,1202213212332202,IT,2021-02-12 0800,\N,\N,\N,\N,\N,-5.732289304988646,-0.3563962656173777,2021-03-08
45.431226187423,9.2092895507812,1202213230201322,IT,2021-02-12 0800,64.58768814564779,58.749341181627344,-5.838346964020445,0.00021823913420690355,0.0002127434948165846,-8.90158980913533,-1.5589229531142563,2021-03-08
45.589056191908,9.3630981445312,1202213212323220,IT,2021-02-12 0800,\N,\N,\N,\N,\N,-11.430829524829031,-0.6524009220694602,2021-03-08
45.38880625126,9.5388793945312,1202213231221020,IT,2021-02-12 0800,\N,\N,\N,\N,\N,4.981110705878499,0.22300555684261195,2021-03-08
45.350215026346,9.2971801757812,1202213230233300,IT,2021-02-12 0800,\N,\N,\N,\N,\N,-3.181795646403145,-0.13417297176499174,2021-03-08
45.569832325584,9.1873168945312,1202213230001022,IT,2021-02-12 0800,60.24593177880009,63.48460285292397,3.2386710741238787,0.0002035685185270017,0.00022989085505179533,5.287977470603076,0.37441022704244636,2021-03-08
45.450497444729,9.3630981445312,1202213230301020,IT,2021-02-12 0800,\N,\N,\N,\N,\N,14.082292428758828,1.6251882664991464,2021-03-08
